STATE,SATSCORE,TAKEPCT,EXPEND,REDSTATE,POVRATE,MEDINCOME
Alabama,1126,9,4189,1,16.9,36936
Alaska,1034,51,6262,1,10.8,55477
Arizona,1049,32,3721,1,14.4,44402
Arkansas,1142,5,4660,1,17.2,35041
California,1019,49,4798,2,13.3,53627
Colorado,1122,26,4428,1,10.9,50841
Connecticut,1028,84,7804,2,8.3,60840
Delaware,995,73,6482,2,10.3,52508
District_Columbia,959,78,7099,2,18.3,48078
Florida,993,65,4268,1,12.8,42437
Georgia,990,70,5085,1,14.5,45564
Hawaii,991,60,5498,1,9.9,56133
Idaho,1088,19,3907,1,13.4,41269
Illinois ,1200,9,5290,2,12,50270
Indiana,1007,62,5384,1,12.2,44051
Iowa,1215,4,4853,1,10.8,43610
Kansas,1172,8,4714,1,11.7,42861
Kentucky,1124,11,4284,1,16.9,37377
Louisiana,1141,6,4597,1,20.2,36547
Maine,1002,73,6905,2,12.3,42648
Maryland,1012,70,6195,2,8.3,61546
Massachusetts,1037,85,7410,2,10.3,57176
Michigan,1151,10,5310,2,13.1,46072
Minnesota,1191,10,5668,2,9.2,52048
Mississippi,1097,4,3913,1,21,33090
Missouri,1178,7,4774,1,13.6,41946
Montana,1083,28,4963,1,14.6,38503
Nebraska,1159,7,5586,1,11,43675
Nevada,1006,40,4247,1,11.1,49288
New_Hampshire,1044,82,6332,2,7.6,56557
New_Jersey,1011,82,8359,2,8.7,61694
New_Mexico,1106,13,4387,1,18.4,37603
New_York,1003,88,9425,2,13.9,49365
North_Carolina,1008,71,4262,1,14.9,40781
North_Dakota,1227,4,4630,1,11.6,40818
Ohio,1079,28,5335,1,13,43547
Oklahoma,1150,7,3755,1,16.4,37020
Oregon,1052,55,4743,2,14.1,43065
Pennsylvania,993,74,6313,2,11.9,44545
Rhode_Island,997,69,7247,2,11.9,50415
South_Carolina,985,62,4465,1,15.6,39477
South_Dakota,1194,4,4335,1,13.6,40096
Tennessee,1142,15,4422,1,15.6,38947
Texas,997,52,4324,1,17.5,42165
Utah,1117,7,3302,1,10.5,48155
Vermont,1032,67,7648,2,10.4,45695
Virginia,1025,73,5449,1,10,54207
Washington,1059,54,4589,2,12,49372
West_Virginia,1029,20,5461,1,18,33466
Wisconsin,1188,6,6001,2,10.2,47141
Wyoming,1103,10,6031,1,10.6,45501
