LAKE,GEOL,SOIL,MONTH,TP,TN,CHLO
ALICE,HAW,CS,AUG,488,557,15
ALTO,HAW,CS,AUG,21,805,17
BIVANS,HAW,CS,AUG,168,2697,155
HIDDEN,BON,PS,AUG,,,
HOLDEN,HAW,CS,AUG,87,1033,42
KINGSWD,HAW,CS,AUG,,,
L_ORANGE,HAW,CS,AUG,194,1273,6
L_SANTAFE,HAW,CS,AUG,21,753,7
MELROSE,HAW,CS,AUG,23,720,23
MIZE,BON,PS,AUG,14,650,7
MOSS,HAW,CS,AUG,32,763,30
NEWNAN,BON,PS,AUG,139,2190,119
SANTAFE,HAW,CS,AUG,17,630,8
WAUBERG,HAW,CS,AUG,277,1830,67
CROSBY,HAW,CS,AUG,18,1023,9
HAMPTON,HAW,CS,SEP,11,737,16
PARADISE,HAW,QS,AUG,12,473,3
ROWELL,HAW,CS,AUG,,,
SAMPSON,HAW,CS,AUG,26,917,12
ANDERSON,HAW,QS,AUG,7,573,3
ANNIE,HAW,QS,SEP,8,380,2
ASHLEY,HAW,QS,AUG,15,300,8
BARCO,HAW,QS,AUG,4,67,1
BROWARD,PLE,OTHR,AUG,7,263,3
CHIPCO,PLE,QS,SEP,7,333,3
CLEARWATER,HAW,QS,AUG,8,267,4
COMO,PLE,OTHR,AUG,9,293,2
ENSLOW,HAW,QS,AUG,8,567,5
GEORGE,HOL,OTHR,AUG,,,
GILLIS,HAW,QS,JUL,9,853,
GOOSE,HAW,QS,AUG,44,1893,2
HIGGENB,HAW,QS,AUG,8,543,5
IDA,PLE,OTHR,AUG,,,
MCCLOUD,HAW,QS,AUG,5,323,4
MCMEEKIN,HAW,QS,AUG,21,660,7
MORRIS,HAW,QS,SEP,12,317,6
MUD,PLE,OTHR,JUL,21,970,16
N_ESTELLA,PLE,OTHR,AUG,5,270,3
PUNCHBOWL,HAW,QS,AUG,14,757,6
REDWATER,HAW,CS,AUG,,,
RILEY,HAW,CS,SEP,23,587,13
RODMAN3,HOL,OTHR,AUG,72,1100,1
RODMANOUT,HOL,OTHR,AUG,54,840,5
ROSS,HAW,QS,AUG,150,2013,33
ROWAN,HAW,QS,AUG,18,1300,21
SPRING,HAW,QS,AUG,19,593,13
STAR,HAW,CS,AUG,70,590,21
STELLA,PLE,OTHR,AUG,13,531,7
SUGGS,HAW,QS,AUG,109,1493,3
WINNOTT,HAW,CS,AUG,25,747,15
ASBURY,JAX,OTHR,SEP,23,437,14
BROOKLN,HAW,QS,AUG,12,360,9
BROOK_BAY,HAW,QS,SEP,13,318,8
CRYSTAL,HAW,QS,AUG,12,300,5
DEER,HAW,QS,AUG,12,140,9
GOLDHEAD,HAW,QS,AUG,7,170,1
HALL,HAW,QS,SEP,11,377,4
HUTCHINSON,HAW,QS,SEP,8,203,4
KINGSLEY,PLIO,OTHR,SEP,14,460,4
LILY,HAW,QS,SEP,26,440,2
L_JOHNSON,HAW,QS,AUG,8,220,2
PEBBLE,HAW,QS,AUG,32,635,32
SHEELAR,HAW,QS,AUG,9,187,3
TWIN,HAW,QS,AUG,9,393,3
